z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20
-0.12,1.44,0.55,-2.11,0.03,1.22,-0.88,2.91,-1.44,0.77,1.02,-0.33,0.11,-1.55,2.44,-0.67,0.90,-2.88,1.33,-0.41
0.77,-1.22,2.11,0.44,-0.55,1.88,-2.33,0.66,1.55,-0.12,0.03,2.44,-1.77,0.88,-0.99,1.33,-2.44,0.55,1.22,-1.11
1.55,0.33,-0.44,2.55,-1.88,0.22,1.11,-0.66,2.33,-1.44,0.77,-2.55,1.44,0.03,-1.33,2.11,-0.22,1.99,-1.55,0.66
-2.11,1.88,0.03,-1.55,2.22,-0.44,0.55,1.33,-0.99,2.44,-1.22,0.66,1.77,-2.33,0.11,1.55,-1.44,0.22,2.11,-0.77
0.33,-0.55,1.22,-2.44,0.66,2.11,-1.11,0.44,1.99,-0.33,2.55,-1.77,0.22,1.44,-0.66,2.33,-1.22,0.03,1.55,-2.11
-1.44,2.22,-0.33,1.11,-2.55,0.55,2.44,-1.22,0.03,1.77,-0.66,2.11,-1.33,0.44,1.22,-0.55,2.33,-1.88,0.77,1.55
2.55,-0.11,1.44,-0.66,1.22,-2.33,0.88,1.55,-1.55,2.11,-0.22,1.33,-2.44,0.55,2.22,-1.77,0.03,1.11,-0.99,2.44
-0.66,1.11,-2.22,0.55,2.33,-1.44,1.77,-0.33,2.55,-1.11,0.44,1.22,-0.55,2.11,-1.33,0.66,1.99,-2.55,0.22,1.44
1.22,-2.44,0.66,1.33,-0.33,2.55,-1.55,0.22,1.44,-2.11,0.55,2.33,-1.22,0.03,1.55,-0.66,2.11,-1.44,0.77,1.99
-1.11,0.44,2.33,-1.22,1.55,-0.66,2.11,-1.44,0.77,1.99,-2.55,0.22,1.44,-0.33,2.55,-1.55,0.22,1.44,-2.11,0.55
